,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
472,"aswan,EG",24.09,95.0,16.0,0.0,11.41
473,"batagay-alyta,RU",67.8,73.19,39.0,0.0,4.16
474,"abong mbang,CM",3.98,66.71,95.0,76.0,2.04
475,"goiatuba,BR",-18.02,63.38,64.0,0.0,3.49
476,"punta de piedra,HN",,,,,
477,"dikson,RU",73.51,32.15,99.0,88.0,13.0
478,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
479,"dunedin,NZ",-45.87,46.82,78.0,24.0,7.74
480,"barrow,US",39.51,78.8,78.0,75.0,3.36
481,"pozega,HR",45.34,48.2,100.0,0.0,2.24
482,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
483,"albany,AU",-35.02,42.05,92.0,48.0,2.93
484,"mys shmidta,RU",,,,,
485,"broome,AU",-17.97,60.8,38.0,0.0,11.41
486,"san cristobal,EC",-1.02,62.03,97.0,64.0,2.15
487,"baykit,RU",61.68,68.78,71.0,0.0,3.83
488,"gurupa,BR",,,,,
489,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
490,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
491,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
492,"szilvasvarad,HU",48.1,49.16,75.0,0.0,4.16
493,"bluff,NZ",-46.6,47.54,100.0,48.0,27.54
494,"ahipara,NZ",-35.17,58.61,86.0,20.0,15.12
495,"tiksi,RU",71.64,74.27,51.0,8.0,4.27
496,"mount isa,AU",-20.73,62.6,48.0,8.0,6.93
497,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
498,"burns lake,CA",54.23,63.11,42.0,8.0,6.85
499,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
500,"hermanus,ZA",-34.42,54.38,85.0,56.0,6.62
501,"seguela,CI",7.96,71.21,93.0,36.0,6.96
502,"margate,ZA",-30.86,65.81,66.0,0.0,11.43
503,"longyearbyen,SJ",78.22,50.0,34.0,0.0,12.75
504,"puerto ayora,EC",-0.74,78.8,61.0,75.0,12.75
505,"atuona,PF",-9.8,80.48,100.0,0.0,18.03
506,"coos bay,US",43.37,66.2,68.0,1.0,26.4
507,"dikson,RU",73.51,32.15,99.0,88.0,13.0
508,"kananga,CD",-5.9,67.97,89.0,8.0,2.48
509,"itarema,BR",-2.92,79.85,72.0,0.0,14.79
510,"jamestown,SH",-15.94,71.21,100.0,0.0,20.83
511,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
512,"nove zamky,SK",47.99,51.8,81.0,0.0,4.7
513,"manta,EC",-0.95,80.6,74.0,40.0,9.17
514,"albany,AU",-35.02,42.05,92.0,48.0,2.93
515,"thompson,CA",55.74,75.2,23.0,20.0,5.82
516,"krasnaya yaruga,RU",50.8,68.0,82.0,0.0,11.18
517,"dikson,RU",73.51,32.15,99.0,88.0,13.0
518,"taolanaro,MG",,,,,
519,"bengkulu,ID",,,,,
520,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
521,"roebourne,AU",-20.77,56.54,34.0,0.0,17.69
522,"avarua,CK",-21.21,84.2,74.0,40.0,5.82
523,"castro,CL",-42.48,32.06,100.0,8.0,1.36
524,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
525,"airai,PW",,,,,
526,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
527,"port alfred,ZA",-33.59,63.38,91.0,0.0,21.05
528,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
529,"bolungarvik,IS",,,,,
530,"atuona,PF",-9.8,80.48,100.0,0.0,18.03
531,"mys shmidta,RU",,,,,
532,"vila velha,BR",-3.71,80.6,74.0,0.0,13.87
533,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
534,"yellowknife,CA",62.45,64.4,88.0,90.0,8.05
535,"taolanaro,MG",,,,,
536,"barentsburg,SJ",,,,,
537,"semnan,IR",35.58,73.46,39.0,88.0,8.41
538,"den helder,NL",52.96,57.2,82.0,90.0,8.05
539,"qaanaaq,GL",77.48,32.6,95.0,44.0,3.04
540,"karaul,RU",,,,,
541,"klaksvik,FO",62.23,50.0,100.0,100.0,11.41
542,"jamestown,SH",-15.94,71.21,100.0,0.0,20.83
543,"barrow,US",39.51,78.8,78.0,75.0,3.36
544,"whitehorse,CA",60.72,66.2,32.0,40.0,2.24
545,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
546,"gweta,BW",-20.21,48.71,66.0,0.0,7.29
547,"mar del plata,AR",-46.43,35.48,78.0,12.0,13.67
548,"east london,ZA",-33.02,65.45,100.0,0.0,24.85
549,"illoqqortoormiut,GL",,,,,
550,"bonham,US",33.58,96.8,55.0,40.0,9.17
551,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
552,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
553,"quatre cocos,MU",-20.21,71.6,68.0,40.0,5.82
554,"hermanus,ZA",-34.42,54.38,85.0,56.0,6.62
555,"ribeira grande,PT",38.52,70.22,100.0,80.0,2.37
556,"nishihara,JP",35.74,68.0,88.0,20.0,8.05
557,"bluff,NZ",-46.6,47.54,100.0,48.0,27.54
558,"hasaki,JP",35.73,66.2,100.0,75.0,3.36
559,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
560,"aldergrove,CA",49.06,71.6,52.0,75.0,3.36
561,"busselton,AU",-33.64,54.65,100.0,12.0,9.53
562,"adre,TD",13.47,66.62,98.0,20.0,5.39
563,"carnarvon,AU",-24.87,57.26,100.0,0.0,18.7
564,"athabasca,CA",54.72,74.54,80.0,68.0,4.94
565,"bilibino,RU",68.06,62.39,84.0,48.0,1.14
566,"lorengau,PG",-2.02,82.64,100.0,64.0,4.05
567,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
568,"sungaipenuh,ID",-2.08,66.26,97.0,76.0,0.92
569,"jamestown,SH",-15.94,71.21,100.0,0.0,20.83
570,"taolanaro,MG",,,,,
571,"mataura,PF",,,,,
572,"north bend,US",43.41,66.2,63.0,1.0,21.92
573,"butaritari,KI",3.07,84.26,100.0,68.0,4.05
574,"bluff,NZ",-46.6,47.54,100.0,48.0,27.54
575,"geraldton,AU",-28.77,46.4,81.0,0.0,4.7
576,"bowen,AU",-20.01,62.6,93.0,75.0,5.82
577,"cape town,ZA",-33.93,55.4,93.0,75.0,8.05
578,"zarubino,RU",42.65,68.24,76.0,0.0,2.04
579,"souillac,MU",-20.52,71.6,68.0,40.0,5.82
580,"bethel,US",60.79,55.4,58.0,90.0,4.7
581,"portland,AU",-33.35,42.77,69.0,0.0,1.25
582,"innisfail,AU",-17.52,63.74,98.0,92.0,5.73
583,"bethel,US",60.79,55.4,58.0,90.0,4.7
584,"hilo,US",19.71,82.4,58.0,1.0,8.05
585,"hilo,US",19.71,82.4,58.0,1.0,8.05
586,"kodiak,US",39.95,82.4,58.0,1.0,8.05
587,"airai,PW",,,,,
588,"bud,NO",62.91,51.8,87.0,92.0,6.93
589,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
590,"barra patuca,HN",15.8,82.19,92.0,20.0,13.0
591,"baghdad,IQ",33.3,87.8,29.0,0.0,10.29
592,"barrow,US",39.51,78.8,78.0,75.0,3.36
593,"deputatskiy,RU",69.3,68.24,26.0,0.0,5.61
594,"saveh,IR",35.02,60.59,32.0,0.0,4.05
595,"charlestown,KN",17.13,82.4,69.0,20.0,13.87
596,"new norfolk,AU",-42.78,48.2,61.0,40.0,9.17
597,"prado,BR",-17.34,76.16,100.0,68.0,10.98
598,"severnoye,RU",54.09,55.28,79.0,0.0,2.71
599,"noumea,NC",-22.28,68.0,72.0,75.0,3.36
600,"yulara,AU",-25.24,44.6,52.0,0.0,10.29
601,"belushya guba,RU",,,,,
602,"tumannyy,RU",,,,,
603,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
604,"tasiilaq,GL",65.61,39.2,93.0,75.0,4.7
605,"port alfred,ZA",-33.59,63.38,91.0,0.0,21.05
606,"ribeira grande,PT",38.52,70.22,100.0,80.0,2.37
607,"kodiak,US",39.95,82.4,58.0,1.0,8.05
608,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
609,"fortuna,US",40.6,75.2,68.0,1.0,16.11
610,"busselton,AU",-33.64,54.65,100.0,12.0,9.53
611,"mar del plata,AR",-46.43,35.48,78.0,12.0,13.67
612,"locri,IT",38.24,75.2,83.0,40.0,11.41
613,"lodja,CD",-3.52,68.42,96.0,44.0,2.37
614,"mataura,PF",,,,,
615,"sentyabrskiy,RU",,,,,
616,"busselton,AU",-33.64,54.65,100.0,12.0,9.53
617,"aklavik,CA",68.22,48.2,76.0,90.0,11.41
618,"izazi,TZ",-7.24,54.11,91.0,0.0,2.59
619,"rikitea,PF",-23.12,76.61,100.0,80.0,13.44
620,"illoqqortoormiut,GL",,,,,
621,"hithadhoo,MV",-0.6,81.74,100.0,20.0,3.71
622,"hasaki,JP",35.73,66.2,100.0,75.0,3.36
623,"kapaa,US",22.08,84.2,66.0,40.0,16.11
624,"mataura,PF",,,,,
625,"banjar,ID",-7.37,71.39,98.0,80.0,3.15
626,"jamestown,SH",-15.94,71.21,100.0,0.0,20.83
627,"victoria,SC",-4.62,78.8,83.0,32.0,13.87
628,"hithadhoo,MV",-0.6,81.74,100.0,20.0,3.71
629,"cape town,ZA",-33.93,55.4,93.0,75.0,8.05
630,"tadine,NC",-21.55,69.95,100.0,36.0,8.63
631,"esperance,AU",-33.86,42.59,91.0,0.0,4.38
632,"chokurdakh,RU",70.62,47.72,85.0,0.0,8.75
633,"saskylakh,RU",71.97,68.69,100.0,24.0,4.72
634,"parabel,RU",58.71,59.51,72.0,0.0,5.06
635,"eenhana,NA",-17.48,60.8,41.0,0.0,2.24
636,"bluff,NZ",-46.6,47.54,100.0,48.0,27.54
637,"lebu,CL",-37.62,49.07,100.0,0.0,22.62
638,"tuktoyaktuk,CA",69.44,35.6,93.0,90.0,16.11
639,"dargaville,NZ",-35.94,57.98,86.0,64.0,15.01
640,"ixtapa,MX",20.71,86.0,66.0,75.0,13.87
641,"saldanha,ZA",-33.01,51.8,100.0,36.0,2.24
642,"tuktoyaktuk,CA",69.44,35.6,93.0,90.0,16.11
643,"flinders,AU",-34.58,44.6,75.0,0.0,9.17
644,"tasiilaq,GL",65.61,39.2,93.0,75.0,4.7
645,"bluff,NZ",-46.6,47.54,100.0,48.0,27.54
646,"nanortalik,GL",60.14,35.57,100.0,64.0,1.59
647,"busselton,AU",-33.64,54.65,100.0,12.0,9.53
648,"yellowknife,CA",62.45,64.4,88.0,90.0,8.05
649,"hermanus,ZA",-34.42,54.38,85.0,56.0,6.62
650,"laylay,PH",13.44,79.94,100.0,68.0,2.59
651,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
652,"busselton,AU",-33.64,54.65,100.0,12.0,9.53
653,"mataura,PF",,,,,
654,"hermanus,ZA",-34.42,54.38,85.0,56.0,6.62
655,"norman wells,CA",65.28,69.8,56.0,75.0,21.92
656,"algeciras,PH",11.42,82.01,100.0,24.0,5.28
657,"albany,AU",-35.02,42.05,92.0,48.0,2.93
658,"mataura,PF",,,,,
659,"tumannyy,RU",,,,,
660,"kirakira,SB",-10.46,80.39,100.0,64.0,15.57
661,"juneau,US",58.3,60.8,55.0,90.0,2.37
662,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
663,"ushuaia,AR",-54.81,30.2,80.0,75.0,6.93
664,"albany,AU",-35.02,42.05,92.0,48.0,2.93
665,"mantua,CU",22.29,80.39,90.0,12.0,2.71
666,"albany,AU",-35.02,42.05,92.0,48.0,2.93
667,"faanui,PF",-16.48,80.84,100.0,0.0,14.0
668,"moree,AU",-29.46,52.58,80.0,0.0,4.38
669,"chuy,UY",-33.69,51.23,88.0,68.0,17.36
670,"hobart,AU",-42.88,48.2,61.0,40.0,9.17
671,"albany,AU",-35.02,42.05,92.0,48.0,2.93
672,"talnakh,RU",69.49,59.06,69.0,0.0,4.61
673,"punta arenas,CL",-53.16,33.8,100.0,90.0,9.17
674,"port elizabeth,ZA",-33.92,65.18,97.0,12.0,34.36
675,"bluff,NZ",-46.6,47.54,100.0,48.0,27.54
676,"albany,AU",-35.02,42.05,92.0,48.0,2.93
677,"kirakira,SB",-10.46,80.39,100.0,64.0,15.57
678,"albany,AU",-35.02,42.05,92.0,48.0,2.93
679,"victoria,SC",-4.62,78.8,83.0,32.0,13.87
680,"ancud,CL",-41.87,32.24,86.0,0.0,2.37
681,"rairangpur,IN",22.27,78.5,82.0,32.0,7.96
682,"bethel,US",60.79,55.4,58.0,90.0,4.7
683,"kidal,ML",18.44,89.84,24.0,20.0,10.54
684,"punta arenas,CL",-53.16,33.8,100.0,90.0,9.17
685,"vila franca do campo,PT",37.72,66.2,77.0,40.0,5.82
686,"atuona,PF",-9.8,80.48,100.0,0.0,18.03
687,"albany,AU",-35.02,42.05,92.0,48.0,2.93
688,"qaqortoq,GL",60.72,42.8,75.0,75.0,10.29
689,"takanabe,JP",32.13,73.4,83.0,75.0,12.75
690,"inuvik,CA",68.36,48.2,70.0,90.0,10.29
691,"tasiilaq,GL",65.61,39.2,93.0,75.0,4.7
692,"vaini,TO",-21.2,77.0,73.0,40.0,9.17
693,"barrow,US",39.51,78.8,78.0,75.0,3.36
694,"port elizabeth,ZA",-33.92,65.18,97.0,12.0,34.36
695,"marsa matruh,EG",31.35,75.2,78.0,0.0,6.93
696,"bredasdorp,ZA",-34.53,59.0,62.0,76.0,10.29
697,"carballo,ES",43.21,73.4,64.0,0.0,2.24
698,"ankara,TR",39.92,66.2,72.0,40.0,5.82
699,"bubaque,GW",11.28,80.6,83.0,0.0,5.82
